Date,copepods ,Cirripedia,euph. larvae,euphausid,Ostracods ,Oiklioplera,Bryozoan Larvae(m3),Decapod,Cnidarians,Annelids,Malacostra,Cladocera,Chaetognath,mollusc/gastropod,Other larvae,Total
2009-05-14,2506.87,137.4,20.36,11.2,131.3,43.77,25.45,0,17.3,5.09,1.02,0,4.071246819,5.09,62.09,2970.99
2009-05-19,1608.14,36.64,24.43,0,67.18,22.39,12.21,38.68,12.21,16.28,14.25,0,0,2.04,6.11,1860.56
2009-05-22,539.44,10.18,6.11,0,14.25,4.07,10.18,16.28,8.14,2.04,4.07,0,0,0,0,614.76
2009-05-25,804.07,26.46,2.04,0,22.39,2.04,4.07,10.18,6.11,4.07,0,0,0,0,0.13,881.55
2009-05-28,854.96,32.57,8.14,0,12.21,2.04,2.04,2.04,6.11,4.07,8.14,0,0,0,0.51,932.82
2009-06-01,1321.12,266.67,191.35,0,26.46,95.67,2.04,6.11,4.07,6.11,4.07,0,12.21,0,236.13,2172.01
2009-06-04,2575.06,681.93,86.51,4.07,59.03,195.42,63.1,278.88,24.43,14.25,44.78,12.21,0,10.18,348.09,4397.96
2009-06-08,451.91,254.45,113.99,0,81.42,156.74,18.32,0,44.78,6.11,10.18,608.65,0,12.21,181.17,1939.95
2009-06-12,796.95,224.43,25.45,2.04,40.2,71.76,27.99,22.9,93.13,1.02,3.56,948.6,0,0.51,123.16,2381.68
2009-06-15,1224.43,154.71,14.25,2.04,66.16,112.98,1.02,26.46,23.41,8.14,7.12,384.73,1.017811705,4.07,32.57,2063.1
2009-06-18,2062.09,107.89,16.28,6.11,211.7,109.92,4.07,36.64,20.36,8.14,6.11,154.71,0,6.11,35.62,2785.75
2009-06-23,145.55,6.62,1.53,0,31.55,2.54,0,3.05,8.65,3.05,8.65,9.16,0,1.02,7.12,228.5
2009-06-25,270.74,11.2,2.54,1.02,26.97,21.88,2.04,4.07,10.18,1.02,9.16,11.7,1.017811705,0,13.23,386.77
2009-06-30,2169.97,59.03,0,0,154.71,48.85,0,6.11,18.32,2.04,32.57,18.32,2.03562341,2.04,8.14,2503.8
,,,,,,,,,,,,,,,,
2010-03-05,309.4,1,0.5,0.5,4.1,1.3,0,0,0.5,0,1,,0,0,0,318.3
2010-03-11,921.1,1.5,5.6,1,3.1,1,2,10.2,0.5,1.5,12.7,,0,1.5,12.2,974
2010-03-15,326.5,0,9.2,0,3.1,3.3,0.5,3.1,1.3,1,1.8,,0,0,4.1,353.7
2010-03-18,119.3,0.5,1.5,0.8,0.3,1.8,2.8,3.6,1.5,0.3,1.5,,1.3,1,1,137.2
2010-03-23,174.4,2.9,4.1,0,1.8,3.2,2.4,9.9,0.4,0.1,1.8,,0,0.3,2.9,204.2
2010-03-26,275.8,0.8,6.4,0,1,1,4.3,6.9,1,1.3,1.8,,0,1,3.6,304.8
2010-03-29,441,13,14,0.8,7.6,0.6,1.8,13.7,3.3,2.8,3.1,,0,1,11.5,514.1
2010-04-01,343.3,1,2.5,0,1.3,2,1.8,9.2,0,1.5,2.5,,0,0.5,2.5,368.2
2010-04-06,410.7,5.1,14.2,0,0,7.1,4.1,2.5,0,0.5,1.5,,0,1.5,2.5,449.9
2010-04-09,488,124.7,24.4,2.5,2,68.7,27,8.7,0.5,9.7,0,,2.5,1.5,8.1,768.4
2010-04-12,373,98.7,18.8,2,7.1,22.4,12.2,7.1,1.5,6.1,5.6,,0.5,7.1,113.5,675.8
2010-04-15,1141,272.8,250.4,5.1,14.2,424.4,37.7,5.1,7.1,32.6,1,,7.1,2,126.2,2326.7
2010-04-19,525.2,73.3,70.2,4.1,4.1,419.3,24.4,0,28.5,16.3,4.1,,0,4.1,2520.1,3693.6
2010-04-22,2455,537.4,814.2,12.2,67.2,266.7,40.7,22.4,38.7,52.9,4.1,,0,12.2,1054.5,5378.1
2010-04-26,3407.6,354.2,561.8,6.1,46.8,234.1,34.6,14.2,28.5,26.5,4.1,,4.1,6.1,1349.6,6078.4
2010-04-29,4962.9,136.4,1060.6,0,34.6,250.4,32.6,12.2,48.9,77.4,4.1,,6.1,0,1547.1,8173
2010-05-04,3029,358.3,221.9,4.1,61.1,309.4,75.3,8.1,44.8,138.4,4.1,,2,6.1,895.7,
2010-05-07,1371,62.1,77.4,24.4,13.2,24.4,19.3,6.1,11.2,11.2,0,,3.1,2,89.6,1715
2010-05-10,2838.7,53.9,124.2,34.6,33.6,18.3,19.3,6.1,22.4,16.3,0,,3.1,1,102.8,3274.3
2010-05-13,1600,89.6,146.6,10.2,24.4,16.3,42.8,4.1,28.5,12.2,0.8,,10.2,4.1,824.4,2814
2010-05-17,519.1,121.1,129.3,9.2,26.5,89.6,15.3,16.3,12.2,9.2,0,,1,3.1,839.7,1791.3
2010-05-21,1927.7,162.9,191.4,20.4,20.4,223.9,2,18.3,24.4,8.1,12.2,,6.1,0,655.5,3273.3
2010-05-25,1225.5,287,120.1,20.4,65.1,59,6.1,6.1,6.1,14.3,6.1,,20.4,8.1,655.5,2499.8
2010-05-28,1416.8,205.6,30.5,0,99.8,10.2,4.1,8.1,36.6,30.5,4.1,,0,6.1,655.5,2507.9
2010-05-31,1156.2,130.3,48.9,0,87.5,22.4,0,4.1,14.3,12,20.4,,6.1,4.1,228,1734.1
2010-06-03,1164.4,270.7,40.7,17.3,44.8,48.9,4.1,8.1,26.5,12.2,30.5,,28.9,4.1,169,1870.1
2010-06-10,669.7,160.8,17.3,7.1,23.4,8.1,22.5,1,36.6,15.3,41.5,,5.1,3.1,99.8,1111.3
2010-06-15,389.8,33.6,7.1,2,4.1,7.1,0,7.1,8.1,5.1,37.7,,0,16.3,136.4,654.4
2010-06-18,1141,161.8,80.4,2,26.5,15.3,0,15.3,7.1,4.1,8.1,,3.1,9.2,92.6,1566.4
2010-06-22,1414.8,215.8,63.1,0,24.4,12.2,4.1,18.3,10.2,2,14.3,,6.1,8.1,97.7,1891.1
2010-06-25,2208.7,421.4,18.3,4.1,28.5,14.3,14.3,6.1,55,42.8,2,,67.2,28.5,1133.8,4044.8
,,,,,,,,,,,,,,,,
2011-03-07,170,0,10,0,0,5,0,2,0,0,2,,0,1,13,204
2011-03-16,134,1,6,0,1,9,1,6,0,0,1,,0,5,13,177
2011-03-21,122,1,8,0,2,6,2,2,0,1,1,,2,3,22,170
2011-03-31,412,7,43,0,4,6,24,8,0,2,2,,4,6,18,534
2011-04-05,73,7,29,0,5,12,95,1,0,1,1,,1,13,119,355
2011-04-08,1,1,0,0,0,1,2,0,0,0,0,,0,0,4,9
2011-04-13,430,103,146,1,7,18,84,9,2,7,0,,0,61,41,908
2011-04-15,1046,183,256,0,10,37,49,16,0,18,0,,0,14,88,1718
2011-04-19,1077,248,670,0,18,336,511,16,10,18,0,,0,136,1390,4432
2011-04-21,1541,362,1181,2,85,419,710,20,33,28,0,,0,360,1109,5852
2011-04-27,655,212,346,0,33,49,159,12,20,20,0,,0,4,122,1633
2011-04-29,228,141,249,0,28,66,181,2,15,41,0,,2,36,853,1843
2011-05-02,1443,328,326,2,316,41,303,7,43,81,0,,4,67,269,3230
2011-05-05,774,171,94,0,98,28,419,0,41,73,0,,16,45,175,1934
2011-05-10,568,67,244,2,28,10,248,26,41,20,4,,24,116,136,1537
2011-05-13,356,37,177,8,14,130,73,4,12,18,4,,28,39,340,1242
2011-05-15,489,85,112,2,35,14,307,0,20,35,6,,4,12,122,1244
2011-05-17,307,96,77,15,36,47,96,11,5,8,16,,16,25,304,1061
2011-05-20,570,1339,134,12,98,134,179,12,163,45,28,,49,12,802,3579
2011-05-24,334,468,54,15,61,56,17,10,30,18,13,,8,24,185,1295
2011-05-27,297,380,33,11,46,16,8,10,13,11,15,,3,4,91,938
2011-05-31,228,384,13,2,45,28,20,4,46,28,3,,2,9,168,981
2011-06-03,320,43,7,2,12,28,7,6,24,11,9,,2,5,75,550
2011-06-06,287,24,3,0,19,4,1,7,40,18,5,,1,4,52,465
2011-06-13,131,28,5,1,18,2,0,2,4,2,5,,1,1,39,237
2011-06-18,451,44,1,5,25,3,2,3,5,4,0,,2,1,26,573
2011-06-30,563,35,6,3,13,0,0,9,2,3,8,,2,0,75,718
,,,,,,,,,,,,,,,,
2012-03-30,372.2,6.4,2,0.3,0.3,60.7,0.3,15.6,0,1,1,,0,0.7,10.2,470.9
2012-04-03,302,59.7,8.8,0.7,4.7,19,3.4,33.9,2,2,3.4,,0,0,21,460.7
2012-04-12,1457.5,134.4,107.9,2,6.1,75.3,14.2,44.8,6.1,2,2,,0,2,99.7,1954.2
2012-04-20,684,69.2,394.9,4.1,10.2,118.1,12.2,20.4,0,6.1,0,,0,22.4,392.9,1734.4
2012-04-26,223.9,88.9,299.9,1.4,160.8,264,15.6,29.2,14.2,21,1.4,,1.4,7.5,172.3,1301.4
2012-05-02,924.2,128.9,587.6,89.6,32.7,495.3,13.6,16.3,38,46.1,4.1,,14.9,50.2,158.8,2600.3
2012-05-09,819.3,40.7,13.2,4.1,32.6,68.2,27.6,7.1,21.4,23.4,6.1,,26.5,14.2,67.2,1171.6
2012-05-17,1007.6,146.6,46.8,16.3,42.7,16.3,4.1,12.2,6.1,22.4,22.4,,8.1,55,97.7,1504.3
2012-05-24,329.8,126.2,195.8,2,6.1,266.7,4.1,2,4.1,10.2,2,,2,4.1,612.7,1567.8
2012-05-31,859.7,103.8,50.9,44.8,10.9,84.1,0,13.6,7.5,7.5,5.4,,10.9,1.4,69.9,1270.2
2012-06-08,850.9,0,0.7,0.7,21,0.7,2,2,2,6.1,3.4,,5.4,6.8,23.7,925.5
2012-06-15,613.4,8.1,0.7,2,6.1,2,0,18.3,2.7,7.5,4.7,,0,0.7,27.8,694.1
2012-06-20,732.1,2.7,0,2,1.7,1.4,0,5.1,0,0,2,,0.3,0.3,17.6,765.4
2012-06-25,1173.9,5.4,0.7,2,1,6.4,0.3,1.4,0.7,0.3,2.7,,0,1.7,21,1217.6
